"","x"
"30","   There is no better leader than  both on  amp  off the field   Ab tou  India bhi maan gaya   Seekh lein kuch  Mod "
"31","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"32","   Followers of  BJP  take a lesson from these results and gear up for  Mission360   Leaders need our wholehearted support  For t "
"33"," WakeUp call for  BJP before 2019 assembly elections  You need to create more leaders at state level who can take s  "
"34","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"35","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"36","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"37","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"38","Fall of the wave   Will there be a crest  Big blow for BJP  Intresting national elections next year  India  "
"39","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"40"," Looks like this poomouth BJP guy got his pay                BJP   MadhyaPradeshElections   Modi  "
"41","   Followers of  BJP  take a lesson from these results and gear up for  Mission360   Leaders need our wholehearted support  For t "
"42","   Followers of  BJP  take a lesson from these results and gear up for  Mission360   Leaders need our wholehearted support  For t "
"43","    BJP Stares At Biggest Election Loss Since  Modi Came To Power   Results2018  RajNiti  ElectionResultsWithBTVI   SemiFinal2019  h "
"44","     YOGI is the nxt  MODI"
"45","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"46","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"47","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"48","Followers of  BJP  take a lesson from these results and gear up for  Mission360   Leaders need our wholehearted sup  "
"49","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"50","    BJP stares at biggest  election loss since  Modi came to power  ARYNews   "
"51","    India is now trading with Japan  Russia  Iran  UAE in Indian  rupee  India is also negotiating with China  Iraq  SK  "
"52","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"53","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"54","In MP   out of 13 constituencies  Modi held rallies  in 9 constituencies  BJP is leading incl  Mandsaur   So  Modi  "
"55","    BJP Stares At Biggest Election Loss Since  Modi Came To Power   Results2018  RajNiti  ElectionResultsWithBTVI   SemiFinal2019  h "
"56","   BJP set to lose all three states  Big shock for  Modi and his team of liars   AssemblyElections2018"
"57","   Should commit suicide   atleast morally   But like  Modi  Amit Shah is also incorrigible  amp  would never own up a failure  I "
"58","    BJP Stares At Biggest Election Loss Since  Modi Came To Power   Results2018  RajNiti  ElectionResultsWithBTVI   SemiFinal2019  h "
"59","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"60","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"61","    its not your win it s message to  build Ram  temple now  modi will win in 2019   Results2018"
"62"," Congress Logic   1  After Losing  it s not because of  RahulGandhi   2  When they win   Its because of RaGa   3  W  "
"63","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"64","  Muslims   Youth lost in madarsas aided by govt reading Jihaddd  so zero knowledge  no jobs  t  "
"65"," And same goes for  Modi  amp   Yogi as well             "
"66","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"67"," BJP Stares At Biggest Election Loss Since  Modi Came To Power   Results2018  RajNiti  ElectionResultsWithBTVI  "
"68","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"69","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"70"," its not your win it s message to  build Ram  temple now  modi will win in 2019   Results2018"
"71"," Modi wins Pyrrhic victory in ousting of RBI chief Patel "
"72","However  it does not matter what you say because the blind  Modi foot lickers will never ask the question  Why are  "
"73","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"74","I m no  INC fan but  2018ElectionResults are good  even w o  Gathbandans   Modi delivering  CongressMuktBharat  but  "
"75","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"76","   Retweet if you want to trend Sir   not only on Twitter but also in 2019 elections     Modi hai to Desh hai              "
"77","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"78","   Retweet if you want to trend Sir   not only on Twitter but also in 2019 elections     Modi hai to Desh hai              "
"79","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"80","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"81","Retweet if you want to trend Sir   not only on Twitter but also in 2019 elections     Modi hai to Desh  "
"82","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"83","   Highlights of  AssemblyElections2018      Modi wave is a thing of the past    EVMs working fine    Cowbelt feeds Cow dung to "
"84"," Modi juggernaut comes to a halt in  India   Congress party rises like a Phoenix    In early results  India s Hindu  "
"85","Should commit suicide   atleast morally   But like  Modi  Amit Shah is also incorrigible  amp  would never own up a fai  "
"86","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"87"," Congress should thank  Modi for his amateur speeches like  congress ki Vidhwa    mistakes of nehru   etc   People  "
"88","RBI governor  UrjitPatel resigns due to  personal reasons   PM s economic panel advisor  SurjitBhalla follows due t  "
"89","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"90","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"91","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"92","   Thousands of  jobs created due to  Modi s  AyushmanBharat   healthcare jobs surge in November   Naukri "
"93","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"94","To all the people who used to say   Modi k Raj mein ye haal hai   yogi aega toh socho Kya hoga   Is it too early to  "
"95","   Why all intellectuals are leaving jobs under Modi Govt               Just a question     P S  I am a democratic person  Indo not su "
"96"," AssemblyElections2018  Results2018  MadhyaPradeshElections2018  MizoramElections2018 when the party cannot see the  "
"97","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"98","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"99","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"100","Bhakts right now   RajasthanElections  RahulGandhi  Modi  BJP                Results2018  BJP  RamMandir  "
"101","    BJP stares at biggest  election loss since  Modi came to power  ARYNews   "
"102","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"103","   When  FakeDegree Leaders dictate  amp  irritate                         Educated Elites like  RBIGovernor  Rajan or  Patel give up  Where re  AndhBh "
"104","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"105","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"106","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"107","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"108"," people had made a choice to be a part of non developing state of India  Mentality of people have been by  "
"109","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"110","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"111","    BJP stares at biggest  election loss since  Modi came to power  ARYNews   "
"112","After  ElectionResults2018  Modi to  RahulGandhi                           AssemblyElections2018 "
"113","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"114","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"115","    BJP stares at biggest  election loss since  Modi came to power  ARYNews   "
"116","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"117"," Why all intellectuals are leaving jobs under Modi Govt               Just a question     P S  I am a democratic per  "
"118","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"119","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"120","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"121","   Thousands of  jobs created due to  Modi s  AyushmanBharat   healthcare jobs surge in November   Naukri "
"122","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"123"," ModiGetsMallya  Na khaunga na khaane Dunga  This is reason why corrupt party  amp  people dislike  Modi But deep insid  "
"124","   Will Modiji attend Isha Ambani s wedding     for more responses    IshaAmbaniWedding  IshaAmbaniSangeet  IshaGramotsavam "
"125","How can we consider this Elections    TelanganaElections  Results2018  AssemblyElections2018  RajasthanElections  "
"126","    BJP stares at biggest  election loss since  Modi came to power  ARYNews   "
"127","   Is Modi staring at his biggest poll rout       Modi  Results2018 Read more at  "
"128","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"129","   Economist  SurjitBhalla resigns from  EACPM   AssemblyElections2018  RajasthanElections2018  narendramodi  modi "
"130","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"131","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"132","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"133","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"134","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"135","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"136"," BJP stares at biggest  election loss since  Modi came to power  ARYNews   "
"137","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"138","   In yet another victory for the  Modi government  a court in the  UnitedKingdom has ordered the extradition of fugitive busine "
"139"," Modi among his own   FreeMasons   Noahides   Doppelganger "
"140","  It is so sad that our Journos are so fond of Harboring prejudice    How rural India votes   "
"141","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"142","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"143","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"144","  Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for  "
"145","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"146","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"147","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"148","Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya  "
"149","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"150","   Thousands of  jobs created due to  Modi s  AyushmanBharat   healthcare jobs surge in November   Naukri "
"151","                                      who wants You  BJP     ElectionResults2018 Good Bye  Modi   RahulGandhi is my  PM  congress"
"152","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"153","Thousands of  jobs created due to  Modi s  AyushmanBharat   healthcare jobs surge in November   Naukri "
"154","Till March 2019 Narendra Modi will not come back to normal   Namo  Modi "
"155","   Is Modi staring at his biggest poll rout       Modi  Results2018 Read more at  "
"156","      on Urjit Patel s resignation as RBI Governor  People he  PM  appointed are resigning  first Arvind Subramanian "
"157","    VijayMallya  s extradition is a very significant development in India s fight against corruption  Credit for this goes en "
"158","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"159","Let s discuss about development  amp  achievements under  Modi regime   Me  What  BJP did in last 4 years    Bhakt  Wha  "
"160","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"161","   Pic 1   what we see Pic 2  what Rahul Gandhi actually did  RahulGandhi  NarendraModi  modi  bjp  Congress   RajasthanElect "
"162","Pic 1   what we see Pic 2  what Rahul Gandhi actually did  RahulGandhi  NarendraModi  modi  bjp  Congress  "
"163","   Wonder now how will the  Governor of  Rajasthan Kalyan Singh and Governor of  madyapradesh and part time Guv of  Chattisga "
"164","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"165","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"166","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"167","Is Modi staring at his biggest poll rout       Modi  Results2018 Read more at  "
"168","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"169","  end result matters   elections doesn t present a budget   reasons may be a lethargic gov  "
"170","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"171","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"172","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"173","Irrespective of today s results will you vote for  Modi in 2019     Result2018"
"174","Highlights of  AssemblyElections2018      Modi wave is a thing of the past    EVMs working fine    Cowbelt feeds Co  "
"175","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"176","Wonder now how will the  Governor of  Rajasthan Kalyan Singh and Governor of  madyapradesh and part time Guv of  "
"177","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"178","     governor  UrjitPatel s resignation a day before Parliament s winter session comes as a shot in the arm for  Congre "
"179","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"180","Credit    modi  YogiAdityanath  BJP  Congress   RajasthanElections "
"181","  Shivraj was considered a PM prospect even in 2014  In fact  Advani even said as much on cert  "
"182","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"183","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"184"," Congratulations but don t be dick  we all know what people can do to arrogance  via  modi"
"185","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"186","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"187","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"188","    Modi wave         BJP               "
"189","clearly the results indicate who is gonna form the government in 2019   modi  ElectionResults2018"
"190","Interesting fact is out of 13 rallies addressed by  in  MadhyaPradesh    In 9 constituency   "
"191","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"192","Why all intellectuals are leaving jobs under Modi Govt               Just a question     P S  I am a democratic person  Indo n  "
"193","     90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives "
"194"," Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that vote  "
"195","IF  Congress wins in  MadhyaPradesh   BJP is done for good  15 year rule trashed  That too while the so called    "
"196","   PM  Modi s statement ahead of  WinterSession of  Parliament   Download the ET App here   "
"197","EVM worked just fine this time  I believe  No tampered  EVM news   hypocrites  Modi  ModiFor2019  ModiForPM2019"
"198","    IndiaGetsMallya  ChristianMichel  INC  Raga Beware  It is  at Delhi  Offenders promoted during  UPA regime "
"199","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"200","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"201","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"202","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"203","Economist  SurjitBhalla resigns from  EACPM   AssemblyElections2018  RajasthanElections2018  narendramodi  modi "
"204","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"205","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"206","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"207","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"208","The arrogance of  BJP   amp   Modi is getting answered back by the people of India      Results2018  "
"209","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"210"," Modi reminds of a strict uncle who would hit me if I speak something too liberal  manipulate me  and chain up my f  "
"211","   Ooops  even after  Modi n  AmithShah campaign in  Telangana 5 sitting  BJP MLAs are trailing  including Kishan Reddy  La "
"212","  The power of  modi"
"213","I wish  Results2018 give a positive feedback to  Modi ji and he switch back to the ideology that got him in power i  "
"214","So  Modi failed to make India  Comgress  Mukt   Congress is back to bite his ass  Jai Shri XXX Rum   "
"215","   PM  Modi s statement ahead of  WinterSession of  Parliament   Download the ET App here   "
"216","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"217","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"218","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"219","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"220","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"221","I am afraid that the loss for  bjp will push  Modi to side with more hardline right view and push away from growth  "
"222","If you watch  republictv it s business as usual   BJP will form the government  they have been informed about this  "
"223","I was expecting  Markets to fall on  congress victory   They haven t really  Did it already know that BJP will lose  "
"224","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"225"," MadhuJi We shd not disrespect  Voters by playing  Pakistan card again  amp  again  Voters are upset with  "
"226","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"227","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"228","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"229","PM  Modi s statement ahead of  WinterSession of  Parliament   Download the ET App here   "
"230","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"231","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"232"," Modi wave         BJP               "
"233"," achieves a paradigm shift with  Result2018 From being a tailender it jumps to front ranking slot  It will  "
"234","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"235","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"236"," Awesome Cover drive by  Modi bhakts               "
"237","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"238","   Mr Narendra  Modi  please apologize  We will not let you get away with your cheap barbs again and again  You have humiliated "
"239","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"240","  Bola  RahulGandhi ka spokesperson                                         wish i had dat video of Rahul post  Modi win in  "
"241","Who is THUG OF HINDUSTAN      Modi   AAMIRKHAN"
"242","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"243","    Modi should apologise "
"244","Is it holy victory that got out of the filthy remarks at caste  amp  family of  Modi ji   I don t think so "
"245","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"246"," solo2  ModiWarOnCorruption Women empowering site  How did  Modi   BJP win 2014 elections  "
"247","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"248","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"249","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"250","  Today s Voting Results for BJP shows how people started rethinking about  MODI   It s  "
"251","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"252","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"253","   Clip from my speech at the  CongressPlenarySession how  BJP  Modi Govt has killed the Indian Economy  Acche Din Aane W "
"254","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"255","   Hope  n  take a lesson not to depend on  YogiAdityanath n others as a  star  Campaigner in futur "
"256","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"257","   Roti  Kapda  Sadak  Bijli   every Government provides  The BJP Govt came into power with a Slogan of Sabka Saath Sabka Vikas  "
"258","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"259","   Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s slipshod "
"260","Urjit Patel  Governor of the  RBI  has finally said no to the  Modi s proposed theft of RBI s reserves  If 2016 s s  "
"261","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"262","   Jumla Man bhakt   all development of  India came from sky  when your feku  "
"263","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"264","          "
"265","I can hear this picture               After the result of  Elections in 5 states                                        modiji  modi  bjp  lol "
"266","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"267","  90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        "
"268","     90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit        who gives "
"269","Why  Congress is celebrating  this is not their victory  it s loss of  BJP as the state govt has not fulfilled the  "
"270","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"271","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"272","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"273","  90  beneficiaries of     Free Aawas  shauchalay  gas  mediclaim is Muslim   Dalit         "
"274","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"275","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"276","Alarming results for  Modi     AssemblyElections2018"
"277","   Cabinet Minister  UpendraKushwaha quits  saying that PM  Modi did not live upto people s expectations   He also said inves "
"278","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"279","   At least     one thing is proved now  cow only gives milk   not votes     Results2018  AssemblyElections2018   Modi "
"280","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"281"," Nation    NationalInterest Must Prevail Over Party   Modi Ahead Of  WinterSession   "
"282","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"283","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"284","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"285","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"286","Now where are those who were crying for EVM hacks  Stupid opposition always trying to point out EVM when they used  "
