"","x"
"29","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"30","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"31","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"32","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"33","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"34","  Would still want to congratulate the regional leaders   Pilot  Kamal Nath  Ashok Gehlot et al m  "
"35","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"36","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"37"," We need many more politicians like  RahulGandhi for our country"
"38","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"39","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"40"," RahulGandhi  NOW THE UP  IS OWN  PLEASE  GIVE ME THE  TICKET  FROM  UP   I WILL WIN THE U P  SEAT  PLEASE"
"41","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"42","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"43","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"44","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"45","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"46","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"47","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"48","   Who will PM in 2019    MadhyaPradeshElections2018  MadhyaPradesh  AssemblyElection2018  ChhattisgarhElections2018  Assemb "
"49","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"50","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"51","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"52","Who will PM in 2019    MadhyaPradeshElections2018  MadhyaPradesh  AssemblyElection2018  ChhattisgarhElections2018  "
"53","   Telangana has rejected  RahulGandhi  time for him to learn humility      FinalFaislaOnZee   Results2018   ElectionR "
"54"," RahulGandhi  CONGRATULATION SIR   I KNOW VERY WELL THAT YOU WILL BE THE WINNER IN INDIA BUT THIS TIME TO TAKE THE  "
"55","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"56","   Telangana has rejected  RahulGandhi  time for him to learn humility      FinalFaislaOnZee   Results2018   ElectionR "
"57","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"58","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"59","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"60","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"61","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"62","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"63","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"64","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"65","We want  young india  not  sung India   Results2018  RahulGandhi  congress "
"66","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"67","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"68","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"69","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"70","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"71","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"72","   Telangana has rejected  RahulGandhi  time for him to learn humility      FinalFaislaOnZee   Results2018   ElectionR "
"73","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"74","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"75","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"76","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"77","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"78","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"79","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"80","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"81","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"82","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"83","   The govt  is getting more  amp  more desperate  The govt  is taking measures that are dangerous for our country  The RBI gov "
"84","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"85","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"86","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"87","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"88","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"89","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"90","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"91","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"92","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"93","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"94","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"95","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"96","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"97","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"98","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"99","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"100","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"101","Beyond all the party politics  I m glad that people didn t give in to the divisive rhetorics and fear mongering by  "
"102","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"103","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"104","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"105","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"106","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"107","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"108","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"109","   Telangana has rejected  RahulGandhi  time for him to learn humility      FinalFaislaOnZee   Results2018   ElectionR "
"110","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"111","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"112","    RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and unruffle "
"113","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"114"," RahulGandhi  Hats off to you for being such a thorough gentleman  such a fine  decent human being  unperturbed and  "
"115","  In fact  credit should go to the voters who came out and voted against  BJP   And no do  "
"116","Wasn t a fact 2 2 million people are disappeared off the voters list that s acknowledged by EC and apologized for   "
"117","   As he completes one year as  Congress President   finds  RahulGandhi s report card still in the red  Acrid piec "
"118","   Have to  hand  it to  RahulGandhi Results2018               "
"119","   Have to  hand  it to  RahulGandhi Results2018               "
"120","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"121"," RahulGandhi s current condition is like an ICU Patient  who don t want to die  don t want to go in jail   amp  his rel  "
"122","   Telangana has rejected  RahulGandhi  time for him to learn humility      FinalFaislaOnZee   Results2018   ElectionR "
"123","Republic TV              analysts psephologists are so hopeful still that BJP might win Madhya Pradesh  That is some supreme o  "
"124","   Telangana has rejected  RahulGandhi  time for him to learn humility      FinalFaislaOnZee   Results2018   ElectionR "
"125","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"126"," RahulGandhi finally emerges from the shadows  He will come out even more aggressive and confident  A definitely bo  "
"127","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"128","   Defeating BJP in elections is not our ultimate goal  Our ultimate goal is solve farmers  crisis and employment crisis  F "
"129"," LordMeghnadSaha holding forth on how  RahulGandhi made   Hindu  nationalist party Cut the junk your lords  "
"130","    Congratulations for victory     We hope government will fulfill all  "
"131","   The govt  is getting more  amp  more desperate  The govt  is taking measures that are dangerous for our country  The RBI gov "
"132","   Taking away the reserves from the RBI to save your skin to atone for the sins you have done to try  amp  fix the mismanageme "
"133","Have to  hand  it to  RahulGandhi Results2018               "
"134","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"135","LOL the mahaa  bhakthini has lost her mind  Can someone airlift her to  nIMHANS  Or give her Patanjali s electrol p  "
"136"," Telangana has rejected both BJP  amp  Congress  Country doesn t want governance of either party  We will get governanc  "
"137","Jokes and laughter at the congress head quarters  Journalist were sent out so that the press conference hall could  "
"138","   Telangana has rejected  RahulGandhi  time for him to learn humility      FinalFaislaOnZee   Results2018   ElectionR "
"139","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"140","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"141","Congratulations  RahulGandhi Puri Awam  Insha Allah we will won 2k19     "
"142","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"143","Telangana has rejected  RahulGandhi  time for him to learn humility      FinalFaislaOnZee   Results2018  "
"144","Cowswami              right now  RajasthanElections2018  RahulGandhi  MadhyaPradeshElections2018  Results2018  "
"145","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"146","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"147","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"148","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"149","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"150","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"151","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"152","    Elections2018  AssemblyElections2018  What goes up always come down   ShivrajSinghChouhan   NarendraModi  AmitShah   Rahulg "
"153"," Elections2018  AssemblyElections2018  What goes up always come down   ShivrajSinghChouhan   NarendraModi  AmitShah   Rahulgandhi"
"154","Explanation on election results    If Congress wins  it is people s mandate  If BJP wins  it is because EVMs are ta  "
"155","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"156","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"157","   People of India don t deserve anything good  I think it s time to stop thinking about  INDIA FIRST                          "
"158","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"159","   This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year complet "
"160","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"161","First they ignore you  then they laugh at you  then they fight you  then you win    RahulGandhi   AssemblyElections2018"
"162","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"163","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"164","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"165","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"166","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"167"," should give answer of this question and also  RahulGandhi  "
"168","   My favourite moment from  ElectionResults2018    on  asking  where is my friend  "
"169","Congress Party Zindabad  The living example of persistence and patience is Sh Rahul Gandhi ji    RahulGandhi  "
"170","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"171","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"172","   Congress wins Rajasthan and Chhattisgarh  but Rahul Gandhi s report card is all red            "
"173"," Congrats sir for Victory   in State  Rajsathan  M P  amp  chhatisghad   Rahulgandhi"
"174","   Pic 1   what we see Pic 2  what Rahul Gandhi actually did  RahulGandhi  NarendraModi  modi  bjp  Congress   RajasthanElect "
"175","    RahulGandhi       Congratulations and thank you India for ri "
"176","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"177","  not entirely correct appreciation of facts on the ground  it is a negative vote for BJP  "
"178","Person who want a capable n corruption free PM  how can v consider   Has he lead a state r a corporatio  "
"179"," Results2018 Mandir Masjid politics might win prime time TV spots  not elections   RahulGandhi faced brickbats for  "
"180","Loved what Raj Thackeray said   PaPu is now Param Pujya               MadhyaPradeshElections2018  AssemblyElections2018Results  "
"181","     what a comment on  RahulGandhi and  ChandraBabuNaidu   awesome  TelanganaElections2018"
"182","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"183"," India answered today   Could you hear   Please keep asking these questions   Please keep insulting  "
"184","   Let me say this loud and clear   Thank you    Thank you    After four and a half years  for the first "
"185","   And it s Rahul Era in Indian Politics from now onwards     CongressWinsBig  RahulGandhi "
"186"," Results2018 Congrats Congress and Rahul Gandhi as he is the party president  Many congratulations    "
"187","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"188","Leher ke baad boonda bandi  abki baar  RahulGandhi  Remembering  2014 elections slogans by  congress  Ground realit  "
"189","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"190"," RahulGandhi       Congratulations and thank you India for  "
"191","They would now realize that killing people for cow was not a good idea   people vote cow s dont  Results2018  RahulGandhi"
"192","   Same date repeats it was  11th when  RahulGandhi became president Post in  Congress today date 11th samye balwan three sta "
"193","  You work is over now   ZeeFakenews  Now you will lick  ass of  RahulGandhi for TRP "
"194"," was LIVE  Catch the Latest Update on the Link Above    SaveIndia  SaveDelhi  RahulGandhi  RaGa  INC"
"195","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"196","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"197","     First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi   Congress  Congres "
"198","All i expect is  RahulGandhi becoming P  M and make the people watch the next 5 years and realise their mistake    Results2018 thumps up               "
"199","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"200"," RahulGandhi must be feeling like that guy who has failed year after year  but finally passes  "
"201","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"202","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"203","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"204","    One thing  has to learn is to stop making fun of  RahulGandhi and Other opposition Leaders "
"205","    RahulGandhi became party president exactly a year ago this day  so this result is a gift for him  Congress will form Gov "
"206","Let me say this loud and clear   Thank you    Thank you    After four and a half years  for th  "
"207","Lesson 1  Cow gives milk  not votes               AssemblyElections2018  Results2018  RahulGandhi  NarendraModi  MadhyaPradesh  "
"208","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"209","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"210","     First they ignore you  then they laugh at you   then they attack you  then you Win        Results2018   Result "
"211","And it s Rahul Era in Indian Politics from now onwards     CongressWinsBig  RahulGandhi "
"212","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"213","VOTE who wl b nxt  RBIGovernor    AI  BiggBoss12  BB12  India  love  jobs  job  tech  AUSvIND  Zero  2Point0  "
"214","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"215","People of India don t deserve anything good  I think it s time to stop thinking about  INDIA FIRST                   "
"216","   And it s Rahul Era in Indian Politics from now onwards     CongressWinsBig  RahulGandhi "
"217","    The  RBI governor has resigned because he wanted to protect the institution    RahulGandhi said after the  OppositionMeet    "
"218","Cleen sweep  BJP in Chattisgarh  Rajasthan but tough fight seen in Madhya Pradesh  Now we see tough fight in Lok Sa  "
"219","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"220","   My favourite moment from  ElectionResults2018    on  asking  where is my friend  "
"221","3 Mistakes of my   life  Demonetisation   RamMandir   YogiAdityanath    Result2018  AssemblyElections2018  "
"222","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"223","     ElectionResults2018  AssemblyElections2018 afer results  RahulGandhi be like                                     "
"224","   This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year complet "
"225","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"226"," One thing  has to learn is to stop making fun of  RahulGandhi and Other opposition Leaders "
"227","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"228","And it s Rahul Era in Indian Politics from now onwards     CongressWinsBig  RahulGandhi "
"229","  First they ignore you  then they laugh at you   then they attack you  then you Win     RahulGandhi  INC  Electionresult2018"
"230","   New Era begins in the political history of India    RahulGandhi  AssemblyElection2018  ExitPollIndiaToday Meanwhile  Arnabgows "
"231","Reporter  now that  Congress has got thw clear majority in the elections  what s the first step u will take   "
"232"," RahulGandhi congratulation rahulbhai for winning 3states"
"233","   Rajasthan and Chhattisgarh in the bag   RahulGandhi now is fighting corrupt Narendra Modi for the heart of India   Madhya "
"234","   3 Big Achievements of My 2 6 Year Journey of Twitter    1 On 4th May 2017 Honoured to b Followed by PM  ji "
"235","     First they ignore you  then they laugh at you   then they attack you  then you Win        Results2018   Result "
"236","  First they ignore you  then they laugh at you   then they attack you  then you Win        Results2018  "
"237","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"238"," RahulGandhi Congratulations on BIG WIN     PEOPLE OF MP CG RAJASTHAN TELENGANA AND MIZORAM HAS LISTENED YOU SPECIA  "
"239","As he completes one year as  Congress President   finds  RahulGandhi s report card still in the red  Acrid  "
"240","    RahulGandhi ji appeal to Voters   Your future is with  and     "
"241","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"242","   Congress wins Rajasthan and Chhattisgarh  but Rahul Gandhi s report card is all red            "
"243","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"244","Christmas has come early   RahulGandhi"
"245","  congratulations to Congress   Congressulation   RahulGandhi   JyotiradityaScindia   SachinPilot"
"246","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"247","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"248","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"249","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"250","   This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year complet "
"251","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"252","My favourite moment from  ElectionResults2018    on  asking  where is my friend  "
"253","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"254","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"255","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"256","     Right Now                  ChattisgarhElections2018  RahulGandhi  NarendraModi  "
"257","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"258","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"259","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"260","   Rajasthan and Chhattisgarh in the bag   RahulGandhi now is fighting corrupt Narendra Modi for the heart of India   Madhya "
"261","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"262","  NoMoreNaMoWave  ChangeIsHere  AssemblyElections2018  Results2018  Congress  INC  WeDidIt  WeWonHearts  "
"263","Don t fear the competitor that hates you  but the one that hugs you   Pappu pass hogaya    RahulGandhi  "
"264","   This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year complet "
"265","   Congress wins Rajasthan and Chhattisgarh  but Rahul Gandhi s report card is all red            "
"266","   This historic wipeout of communal divisive BJP from Hindi heartland is a befitting gift to Rahulji on his one year complet "
"267","     First they ignore you  then they laugh at you   then they attack you  then you Win        Results2018   Result "
"268","   Same date repeats it was  11th when  RahulGandhi became president Post in  Congress today date 11th samye balwan three sta "
"269","    RahulGandhi became party president exactly a year ago this day  so this result is a gift for him  Congress will form Gov "
"270","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"271","Today  and  workers be like  Ab Apunka Time Shuru    Results2018  MadhyaPradeshElections2018  "
"272","Where the hell is he running now   Results2018  Modi  RahulGandhi  AssemblyElections2018 "
"273","My favourite moment from  ElectionResults2018    on  asking  where is my friend                                                     RahulGandhi"
"274","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"275","Despite high voltage election campaign by both Prime Minister Narendra Modi  BJP national president  AmitShah and B  "
"276","Congrats to  RahulGandhi  congress for winning Hindu and Hindi heartland    AaRahiHaiCongress  AssemblyElection2018  Results2018"
"277","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"278","Now this is hilarious    Congratulations  RahulGandhi  INC on winning 3 big states   "
"279","   One thing is clear now  indians are capable of electing pappu as PM  ElectionResults   RahulGandhi   ElectionResults20 "
"280","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"281","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"282","One thing is clear now  indians are capable of electing pappu as PM  ElectionResults   RahulGandhi   ElectionResults2018"
"283","   Congress wins Rajasthan and Chhattisgarh  but Rahul Gandhi s report card is all red            "
"284","   Congress wins Rajasthan and Chhattisgarh  but Rahul Gandhi s report card is all red            "
"285","  First they ignore you  then they laugh at you   then they attack you  then you Win        Results2018  "
"286","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"287","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"288","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"289","   Nobody in any studio is calling    pappu today  Like a wise man had once said   first they ignore you  then r "
"290","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"291","   Congrats  RahulGandhi "
"292","Today  and  workers be like  Ab Apunka Time Shuru    Results2018  MadhyaPradeshElections2018  "
