"","x"
"47","It s a true example of democracy where people are saying that  modi is a great leader  however the state government  "
"48","3 things are clear today   1   EVMs working fine  They get tampered only when  bjp wins  2   ElectionCommission is  "
"49","     I agree with you the Raj is lost because of arrogant CM  according to common man of Raj  I had been to "
"50","   Beginning of the end  BJP  Modi"
"51","VOTE who wl b nxt  RBIGovernor    AI  BiggBoss12  BB12  India  love  jobs  job  tech  AUSvIND  Zero  2Point0  "
"52","   While the  Congress is gaining confidence   Modi and Shah would not have gone to the battle of the states without a strategy "
"53","Political commentators have linked the BJP s apparent dwindling support to growing rural distress and unemployment  "
"54","  Will 2019 get a new PM   No bullet train  No Ganga is getting cleaned  No Smart cities  Far  "
"55","Cleen sweep  BJP in Chattisgarh  Rajasthan but tough fight seen in Madhya Pradesh  Now we see tough fight in Lok Sa  "
"56","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"57","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"58","What a show by    Congratulations to  to show the mirrors to our arrogant PM  Ab ki bar Congre  "
"59"," Congress wins MP Rajastan chettish  Modi amitsha comb got  5  0 defeate ofter karnataka dibacle  Modi c  "
"60","   Beginning of the end  BJP  Modi"
"61","When my  driver profile says this   He will re emerge  says he  Maybe this loss is a blessing in disguis  "
"62","    BJP MUKT  Bharat      NOTA for cheating  ditching  backstabbing  Hindus      amp   must resign  amp  go ho "
"63","It was not setback  it was collateral lesson to internally wrangling  bottom to top level priggish  BJp  leadership  "
"64","Hey  Just wanted your tv schedule for the day   ElectionResults2018  Modi  AssemblyElections2018  AssemblyElectionResults2018"
"65"," India s  Modi stares at biggest  election loss since coming to power  Congress  BJP   "
"66","   Economist  SurjitBhalla resigns from  EACPM   AssemblyElections2018  RajasthanElections2018  narendramodi  modi "
"67","2014  Modi became PM of  India  India lost in 2015 world cup  Australia   2018 India won most wanted match against  "
"68","    Modi mukt  Bjp will be good for BJP    mpelections"
"69","What s  Congress leaders do is past now  BJP leaders including  Modi doing   Results2018  people want  result on ev  "
"70","   Wonder now how will the  Governor of  Rajasthan Kalyan Singh and Governor of  madyapradesh and part time Guv of  Chattisga "
"71","   Beginning of the end  BJP  Modi"
"72","   Beginning of the end  BJP  Modi"
"73"," stop propagating on Statues  Focus on development  Changing names will nt give u seats  Change your stra  "
"74","Because they were not able to keep pace with  Jumlanomics  of  NaMo  Modi  BJP "
"75","   Many members of the  NDA have either quit the alliance or are at odds with the Modi  government  will this set  Modi up for a "
"76","   Beginning of the end  BJP  Modi"
"77","   Beginning of the end  BJP  Modi"
"78","     Modi be like              "
"79","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"80","   During that period  the names mentioned by Modiji never lived were born in the same period  But only Saheb Modiji thinks t "
"81","    Modi s repugnant  crude and cheap remarks against Mrs Sonia Gandhi is hardly surprising  He once called her a Jersey cow  H "
"82"," MadhyaPradeshElections2018  I am a supporter of the government who can add to the developement of my State  15year  "
"83","  Modi be like              "
"84","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"85","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"86","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"87","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"88","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"89","    Modi  s logic  It is called the Reserve Bank of India  so I will take their reserves  Simple "
"90","India s  Modi stares at biggest election loss since coming to power  says  in it s headline   "
"91","   Beginning of the end  BJP  Modi"
"92"," BJP out      We ll let anyone to rule India except  Modi  AssemblyElections2018  TelanganaElectionResults  "
"93","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"94"," What a coincidence When  bjp win  then reason is  modi But if lose then credit goes to  Stategovt   "
"95","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"96","Terrorism at its peak during  Modi Government "
"97","    AssemblyElections2018  Modi is in worst position in his political career  so many fake promises   aggressive behavior a "
"98"," What a coincidence When  bjp win  then reason is  modi But if lose then credit goes to  Stategovt   "
"99","      You may be right but I do believe that if  Hindus can t get the  bigger picture  and go b "
"100","   Beginning of the end  BJP  Modi"
"101","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"102","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"103","What a coincidence When  bjp win  then reason is  modi But if lose then credit goes to  Stategovt               "
"104","    AssemblyElections2018  Modi is in worst position in his political career  so many fake promises   aggressive behavior a "
"105"," AssemblyElections2018  Modi is in worst position in his political career  so many fake promises   aggressive behav  "
"106","   Beginning of the end  BJP  Modi"
"107","   PM  Modi loves to refer to himself as a Chaiwala   But he has ignored the Tea Growers of Assam since 2014  going back on h "
"108","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"109","   Beginning of the end  BJP  Modi"
"110","Where the hell is he running now   Results2018  Modi  RahulGandhi  AssemblyElections2018 "
"111","show is by the voters who knows what is good for country and society but they vote on social media and not in actua  "
"112","If now  Modi  amp   BJP dont wake up then       AssemblyElections2018"
"113","Retweet For  imrankhan And Like for  Modi     India  Pakistan "
"114","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"115","   Beginning of the end  BJP  Modi"
"116","Bakths    Why you people are always        blaming  Modi   He s always  Right   We    That s the problem da dei       alwaysright"
"117","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"118","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"119","   Beginning of the end  BJP  Modi"
"120","   Beginning of the end  BJP  Modi"
"121","Narendra Modi Amit Shah D Fadnavis  Sushma swaraj  Yogi Adityanath  Rajnath Singh and more    All these b  "
"122","U very well know the ans  bring some popular schemes like Amma canteen  ram mandir ordinance  hike Income tax exemp  "
"123","   Beginning of the end  BJP  Modi"
"124","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"125","Really     So if asking questions on lynching  economy  gender  vidhva is anti  Modi then I a  Hindu is anti nation  "
"126","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"127","   Beginning of the end  BJP  Modi"
"128","Tuesday s results are being seen as a referendum on 68 year old  Modi  who will be seeking a second term in the off  "
"129","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"130","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"131","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"132","   Beginning of the end  BJP  Modi"
"133","    AssemblyElections2018    no term like  Modi wave exist    EVMs working fine if bjp loss    ElectionCommissionOfIndia  is n "
"134","    India s ruling party could lose power in three key states  four TV networks said  citing votecount leads  potentially handin "
"135","Beginning of the end  BJP  Modi"
"136","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"137","    Says who  Congress   whos only issue agenda is  Modi Hatao   No vision for the nation  no plan for progress or I "
"138"," Rename all scems with  Modi name  AssemblyElection2018"
"139","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"140","So the verdict today clearly asks the BJP RSS Modi Shah to suck it up  India is far better without them  Go strong  "
"141","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"142","Finally results are out in major states   Can t we expect raise in fuel prices as elections are completed   "
"143","   Everyday 10 000 people are getting healthcare through  AyushmanBharat scheme  It is 4 6 lakh in 6 weeks  It may go upto "
"144","    said  is not a politician usku mu pe politics thopi gayi hai but the young man turning the things "
"145","   Name change alert  now it is called Reserve Bunk of India  Congratulations Mr  Modi "
"146","      You may be right but I do believe that if  Hindus can t get the  bigger picture  and go b "
"147","   Would PM  Modi blame Nehru   Gandhi Parivar for today s loss      AssemblyElection2018   Results2018"
"148"," said  is not a politician usku mu pe politics thopi gayi hai but the young man turning the  "
"149"," PM  will be back in action  People will definitely vote for  modi  "
"150","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"151","Would PM  Modi blame Nehru   Gandhi Parivar for today s loss      AssemblyElection2018   Results2018"
"152","   You may be right but I do believe that if  Hindus can t get the  bigger picture   "
"153"," Modi s re election bid  Setback in  assemblyelections may dent  PM s chances  force strategy rethink "
"154","  wins  Chattisgarh   ChattisgarhElections2018  CongressIsWinning   52 seats behind  "
"155"," ElectionResults2018 Today s results proves that we don t deserve honest  amp  effective administration  I pray we ll n  "
"156","   Many members of the  NDA have either quit the alliance or are at odds with the Modi  government  will this set  Modi up for a "
"157"," Wrong  Fall back on the brahmastra that wreaked havoc on the opposition in 2014  Don t be stupid   Modi  development"
"158"," Ur stats may be correct but I do not agree with the conclusion   Now that BJP has lost  there is no n  "
"159","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"160"," RahulGandhi s grinny charm  anti incumbency  crippling autonomy of  CBI   RBI and other institutions   Rafael  sca  "
"161","  I agree with you the Raj is lost because of arrogant CM  according to common man of Raj  I had  "
"162","   Many members of the  NDA have either quit the alliance or are at odds with the Modi  government  will this set  Modi up for a "
"163","   Many members of the  NDA have either quit the alliance or are at odds with the Modi  government  will this set  Modi up for a "
"164","   Many members of the  NDA have either quit the alliance or are at odds with the Modi  government  will this set  Modi up for a "
"165","    BJP MUKT  Bharat      NOTA for cheating  ditching  backstabbing  Hindus      amp   must resign  amp  go ho "
"166","   Many members of the  NDA have either quit the alliance or are at odds with the Modi  government  will this set  Modi up for a "
"167","   Many members of the  NDA have either quit the alliance or are at odds with the Modi  government  will this set  Modi up for a "
"168","Now  BJP has the time to stop speaking lie  Fulfil its poll promises that was made by  Modi before coming to power  "
"169","   ji    Arrogance  Modi  will fall one day or other    this is just a start"
"170","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"171","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"172","  I would disagree  This is more of a victory of the regional leaders   Pilot  Kamal Nath  e  "
"173"," Results2018 Congrats Congress and Rahul Gandhi as he is the party president  Many congratulations    "
"174","BJP should learn now that people are fustrated of their dominance   And let this success for congress be the next c  "
"175","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"176","    BJP MUKT  Bharat      NOTA for cheating  ditching  backstabbing  Hindus      amp   must resign  amp  go ho "
"177","But you have to have a heart to do that     I wish  Modi ji   s heart and Dr MMS s maturity to accept t  "
"178"," Results2018 have made  BJP think tanks to scratch their head where they have gone wrong  perhaps good for the nati  "
"179","Never Swati  Now that  Modi effect has died  all they have is Yogi  "
"180","    BJP MUKT  Bharat      NOTA for cheating  ditching  backstabbing  Hindus      amp   must resign  amp  go ho "
"181","   When  FakeDegree Leaders dictate  amp  irritate                         Educated Elites like  RBIGovernor  Rajan or  Patel give up  Where re  AndhBh "
"182"," BJP MUKT  Bharat      NOTA for cheating  ditching  backstabbing  Hindus      amp   must resign  amp   "
"183","You can hear orgasm in Arati Jerath s voice  to pin blame on  NarendraModi for  Results2018 where  BJP los  "
"184","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"185","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"186","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"187","May be people are enjoying comedy from  RaGa than seriousness of  Modi"
"188","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"189"," Results2018 what is main point for failure of  NDA  bjp  modi and others in this  Election2018"
"190","    Dakota never voted for  is a myth propounded by both  "
"191","Looks like  India will reject  Modi as  Pakistan rejected his friend  "
"192"," Modi  amp  Shah have created Frankenstein s monster in their front yard  Yogi is now Modi s biggest Blunder    Gupta"
"193","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"194","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"195","Minorities out in open with full aggression on Twitter on Congress victory  Shows what Hindus should do in 2019   "
"196","   Now that the  Results2018 are clear  can we move away from  Modi  AmitShah  YogiAdityanath  SachinPilot  AshokGehlot  Jyo "
"197","   Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  the BJP  "
"198","   Sky Rocket  Fuel  Petrol is expensive   Rupee74 is down   StockMarket Down  GDP dOWN No  smartcity   KillingFarmers  Bet "
"199","    AssemblyElections2018    no term like  Modi wave exist    EVMs working fine if bjp loss    ElectionCommissionOfIndia  is n "
"200","Sky Rocket  Fuel  Petrol is expensive   Rupee74 is down   StockMarket Down  GDP dOWN No  smartcity   KillingFarmers  "
"201","EVM machine in all the Congress winning place are faulty they vote for BJP and it counted for INC we need to have r  "
"202","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"203","Three  not two  cheers for  RahulGandhi and a big lesson for  Modi   strikes  In short  the results show  "
"204","   Results2018 Had  Malya hearing being held before  elections  the results of the states would  "
"205"," emerges as true leader who ran focus topic based campaign keeping all dignity of language and pitch of  "
"206","    Modi stares at biggest election loss since coming to power   "
"207"," Even the  IndvAus  IndvAus test match was not such a cliffhanger  Salute to democracy for reminding t  "
"208","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"209","    Deploying a toxic cocktail of hyper nationalism and totalitarianism  a spectre of terror has been unleashed to convert India "
"210"," Modi stares at biggest election loss since coming to power     Pakistan"
"211","Now that the  Results2018 are clear  can we move away from  Modi  AmitShah  YogiAdityanath  SachinPilot  "
"212","    Modi stares at biggest election loss since coming to power   "
"213"," Modi stares at biggest election loss since coming to power   "
"214","Will  Modi go to  AmbaniWedding   "
"215"," ElectionResults2018  The 5 M s Machine   Modi   Mandir  Money  amp   Media  factors leading to  hung results in  "
"216","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"217","     Anti Muslim identity is being ruined by  Modi  "
"218","Now where is the  Modi wave                 AssemblyElections2018"
"219","All parties are corrupted but still  bjp  modi is not aj option           "
"220","Things not looking good for  MODI in India if you look at recent elections   BJP going down"
"221","   What couldn t happen in 2013 coz of the socalled  Modi lehar  has happened in 2018   facing a rout not just "
"222","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"223"," Modi Juggernaut started in 2013 with landslide wins in  MadhyaPradeshElections    RajasthanElections and a turnaro  "
"224","    AssemblyElections2018    no term like  Modi wave exist    EVMs working fine if bjp loss    ElectionCommissionOfIndia  is n "
"225","   Nehru  Indira Gandhi Rajiv Gandhi  Did not have this to their credit  Now  Modi has it  Congrats  First time in 70 years G "
"226","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"227"," BJP shaken  What  Modi could do now    MadhyaPradeshElections2018  TelanganaElectionResults"
"228","    India s  Modi stares at biggest election loss since coming to power   Reuters "
"229","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"230","    Congress  win in  Chhattisgarh  likely win in  Rajasthan  amp  neck and neck contest in  MadhyaPradesh shows that voters have "
"231","    AssemblyElections2018    no term like  Modi wave exist    EVMs working fine if bjp loss    ElectionCommissionOfIndia  is n "
"232","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"233"," Says who  Congress   whos only issue agenda is  Modi Hatao   No vision for the nation  no plan for prog  "
"234","Now is the time  ElectionResults2018 for     amitshah  modi      Wake up  "
"235","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"236"," GoodByeBJP   they wanted  congressmukthbharath and we the people want  BjpMukthBharat   Modi it s time t  "
"237"," anything to say today   modi  Election2018  ChattisgarhElections  RajasthanElections  "
"238","     It s not pride to  BJP OR   Modi  OR   SardarPatel It is pride for our Nation    I think u "
"239","   People related issues should be discussed during Winter session  PM  Modi  "
"240","Today scenario for someone                            election18  madhayprasesh  MizoramElections2018  telungana  chiefminister  BJP  "
"241","Exactly 5 yrs back every where there was modi mania now there is modi MAFIA  Modi  man of disastrous India  modi "
"242","It s very bad comments please don t make such a comment we all are Hindu and Indians so need not to worry with all  "
"243"," Deploying a toxic cocktail of hyper nationalism and totalitarianism  a spectre of terror has been unleashed to con  "
"244","When Indians can disown person like  AtalBihariVajpayee   ranilakshmibai and  Bhagatsingh then who is  Modi    We r  "
"245","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"246","    India s ruling party could lose power in three key states  four TV networks said  citing votecount leads  potentially handin "
"247","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"248","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"249","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"250","    Modi has destroyed our country  For him   RBI is just collateral damage   UrjitPatel"
"251","   Just imagine wat this lady must have felt when she lost him on whose shoulder she rests in the picture  But she came out m "
"252","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"253","I liked a  video              LIVE  Sathiyam TV Election Results 2018  Tamil news Live   modi  rahul  Congress"
"254","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"255"," Modi  Money  Media All are defeated today     Great day for  Democracy   AssemblyElections2018  ByeByeModi  "
"256","    India s ruling party could lose power in three key states  four TV networks said  citing votecount leads  potentially handin "
"257","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"258","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"259","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"260","   After EC  CVC  CBI  ED  Lokpal  amp  SC   Modi Govt destroys the autonomy  amp  credibility of one more institution  by forcing ex "
"261","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"262","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"263","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"264"," Results2018  BJP was about to loose bcoz  modi worked as a partymen more than PM    people have shown hint      re  "
"265","Congress in Rajasthan  Chhattisgarh and TRS in Telangana   onebharath  Elections2018  inc  RahulGandhi  bjp  modi"
"266","   Btw we won t blame EVM s and we don t claim Moral Victory  We will not say Democracy is in threat either  Bharatiya Janat "
"267","     Farmers don t care about how much  knows about farming but would judge what all PM  Modi has done for them "
"268"," Elections2018 headline   madhyapradesh 112  congress   108  bjp   chhattisgarh 62 13  rajasthan 103 69   telangana  "
"269","L O L  AccheDin my black ass   Elections2018  ElectionResults  ElectionResults2018  Rajasthan  MadhyaPradesh  "
"270","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"271","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"272"," RESULT2018  No other leaders can retain power like  ji  Nobody can match his integrity  Hard work  amp  s  "
"273","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"274"," Blindly believing the local cadre and poor campaigning have cost  BJP  But not worry in 2019 they will ha  "
"275","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"276","BJP MLA blames SC ST Act amendments 4 poor show cant win polls by hurting upper castes  Agree    Results2018  "
"277"," MODI WAVE    BJP  GAYI                                                                        "
"278","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"279","   FOUND in  Facebook     ElectionResults2018  ElectionsWithNews18  ElectionResults  Election2018  Elections2018  ElectionsW "
"280"," AssemblyElections2018  The losses are due to  Modi and  AmitShah not due to the local leadership "
"281","   Followers of  BJP  take a lesson from these results and gear up for  Mission360   Leaders need our wholehearted support  For t "
"282","   Followers of  BJP  take a lesson from these results and gear up for  Mission360   Leaders need our wholehearted support  For t "
"283","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"284","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"285"," AssemblyElections2018    no term like  Modi wave exist    EVMs working fine if bjp loss    "
"286","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"287","Today scenario for someone                           election18  madhaypradesh  MizoramElections2018   telungana  chiefministers  BJP  "
"288","FOUND in  Facebook     ElectionResults2018  ElectionsWithNews18  ElectionResults  Election2018  Elections2018  "
"289","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"290","    DubaiPrincess  SheikhaLatifa  The matter has now been referred to the  UN special rapporteur on extrajudicial  summary or "
"291","   I think  RaviShastri yesterday was talking about what  Modi is feeling today   Results2018  AssemblyElections2018"
"292","Did you know    instagram  modi  facebook  tiktok   bollywood  hollywood  life  lifequotes  motivationalquotes  "
"293","   Like they say when the going gets tough  the tough get going    BJP  Modi  AmitShah  Elections2018 "
"294","I think  RaviShastri yesterday was talking about what  Modi is feeling today   Results2018  AssemblyElections2018"
"295"," Election results may force  Modi s course correction  economists fear fiscal slippage  via "
"296","Like they say when the going gets tough  the tough get going    BJP  Modi  AmitShah  Elections2018 "
"297","   If  loses any of 3 states   Then  Seculars  amp  liberals will say  ITS THE END OF  Modi WAVE  nd if  Congress l "
"298","   Moral of  AssemblyElections2018    No more  Modi wave     EVMs working fine    ElectionCommissionOfIndia  is no more   "
"299"," Wait for the evening   BJP  TrollArmy will spin a new narrative   Election2018 losses do not reflect b  "
"300","                                        Murmur of  dissent in  BJP  Sanjay Kakde Bjp MP attacks  Modi   Says     Party has forgotten  development and must s "
"301","   The good show put up by the  in the assembly polls in  Rajasthan   MadhyaPradesh and  Chhattisgarh makes one th "
"302","Dolts applauding jolts              Mam  don t get excited  These are assembly elections  You have 5 months  Work towards keep  "
"303","When you tell people to fry pakoda  people will make sure you sell tea   Modi"
